,GEOID,TRACT,area_tiger,fid_1906_f,fid_export,id,id_1,objectid,shape_area,shape_len,multigeom,area_layer,geometry,area,percent_overlay
10,06075010200,010200,1182104.114832828,0,-1,0,0,1,110827955.33,74205.3698609,False,16514826.480895558,"POLYGON ((-13627515.85167302 4551597.856118831, -13627487.0487 4551389.420100003, -13627463.449 4551258.960900001, -13627817.6676 4551202.325800001, -13627830.358 4551197.1132, -13628000.1257048 4551169.876548011, -13628002.22163527 4551182.993928631, -13628013.62463345 4551254.428244138, -13627856.59341696 4551278.394903579, -13627831.2239002 4551286.897141363, -13627672.15758526 4551302.499968901, -13627646.56732209 4551311.947142401, -13627652.71277251 4551349.469243352, -13627657.03571175 4551375.862708324, -13627674.23238401 4551480.856893986, -13627677.94746068 4551507.198194678, -13627590.40265824 4551521.080358429, -13627588.88328365 4551588.383182896, -13627530.54825823 4551595.204563415, -13627515.85167302 4551597.856118831))",83705.65773088233,0.07081073205021361
11,06075020800,020800,554950.7612432637,0,-1,0,0,1,110827955.33,74205.3698609,False,16514826.480895558,"POLYGON ((-13627874.50998165 4545378.04505441, -13627890.6932 4545591.341899998, -13627907.7251 4545816.6356, -13627924.8683 4546041.793499998, -13627435.0625 4546080.094700002, -13627418.0306 4545854.232000001, -13627417.09331433 4545841.826022351, -13627453.55541935 4545839.041122149, -13627449.69122261 4545752.499366299, -13627489.76200351 4545749.995945643, -13627478.35168358 4545518.561189323, -13627747.24595751 4545506.308590226, -13627736.61784623 4545388.582346167, -13627741.01458918 4545283.166061033, -13627787.7848142 4545284.034931831, -13627797.09240094 4545383.9612502, -13627858.7266243 4545379.251303214, -13627874.50998165 4545378.04505441))",270344.26690475637,0.48715000642417433
12,06075011100,011100,396356.1799565948,0,-1,0,0,1,110827955.33,74205.3698609,False,16514826.480895558,"POLYGON ((-13628026.59472424 4550109.383595025, -13627299.3641 4550226.756899997, -13627279.6605 4550102.651299998, -13627258.9551 4549972.067400001, -13627237.6931 4549837.963500001, -13627216.8763 4549706.396899997, -13627963.2735 4549587.227700002, -13627981.0846 4549717.5251, -13628001.4561 4549852.613399996, -13628022.7181 4549982.068899998, -13628035.59066506 4550057.857315902, -13628015.9486717 4550061.22838963, -13628023.11649556 4550084.593168813, -13628026.59472424 4550109.383595025))",395481.02210622333,0.9977919914091732
13,06075012000,012000,199273.78496288034,0,-1,0,0,1,110827955.33,74205.3698609,False,16514826.480895558,"POLYGON ((-13627918.6491587 4549396.69131399, -13627938.8945 4549454.9599, -13627963.2735 4549587.227700002, -13627216.8763 4549706.396899997, -13627196.0596 4549575.113700002, -13627174.9089 4549443.550300002, -13627539.5915 4549384.953100003, -13627883.05692343 4549329.639866716, -13627884.92612288 4549341.330837792, -13627894.39149977 4549400.533470003, -13627918.6491587 4549396.69131399))",197968.41825067624,0.9934493806475987
14,06075010300,010300,433175.1209482218,0,-1,0,0,1,110827955.33,74205.3698609,False,16514826.480895558,"POLYGON ((-13627191.4498989 4551032.604982, -13627422.3721 4550995.652500003, -13627440.9624 4551128.362499996, -13627463.449 4551258.960900001, -13627487.0487 4551389.420100003, -13627515.85167302 4551597.856118831, -13627492.14873203 4551602.132599431, -13627478.56669763 4551539.013986629, -13627442.49222403 4551544.823726177, -13627443.7984292 4551609.846534494, -13627383.91550765 4551626.196097499, -13627386.92305104 4551662.154208772, -13627387.67835487 4551688.840594671, -13627358.49748372 4551693.57429286, -13627332.35929546 4551697.895907324, -13627349.1211384 4551802.469746439, -13627353.04548295 4551828.778697796, -13627356.99975927 4551853.448506537, -13627374.24500898 4551890.114193239, -13627353.42467244 4551899.038792529, -13627342.90981997 4551900.320791371, -13627161.7732 4551709.939599997, -13626942.5851 4551518.612899996, -13626936.0172 4551477.614799998, -13626893.9385 4551215.428000003, -13626873.0104 4551083.562100001, -13627044.24175213 4551056.161428142, -13627044.74540382 4551059.227421427, -13627100.29708811 4551049.650827606, -13627099.82781804 4551047.266470923, -13627167.04389644 4551036.510463424, -13627167.25183131 4551037.538900763, -13627191.4498989 4551032.604982))",359790.975616355,0.8305901198313775
15,06075012301,012301,147535.66015135386,0,-1,0,0,1,110827955.33,74205.3698609,False,16514826.480895558,"POLYGON ((-13627132.8301 4549179.8653, -13626949.4869 4549209.1633, -13626766.4776 4549238.179700001, -13626787.6284 4549371.148999996, -13626421.4985 4549430.1687, -13626379.8651 4549167.188299999, -13626745.7722 4549108.451700001, -13626928.5588 4549079.013199999, -13627112.0133 4549049.574699997, -13627132.8301 4549179.8653))",147535.66015135392,1.0000000000000004
16,06075010600,010600,299780.1909233166,0,-1,0,0,1,110827955.33,74205.3698609,False,16514826.480895558,"POLYGON ((-13626732.3026 4551375.754199997, -13626370.6255 4551432.249399997, -13626195.7426 4551453.241499997, -13626176.2617 4551328.5577, -13626134.0716 4551065.670199997, -13625775.1776 4551123.8543, -13625732.8762 4550859.422300003, -13626119.3774 4550797.435999996, -13626247.9515 4550910.138599997, -13626294.149 4550950.571000002, -13626381.6462 4551027.350599997, -13626509.107 4551139.0696, -13626772.0436 4551369.414399996, -13626732.3026 4551375.754199997))",299780.19092331664,1.0000000000000002
17,06075013101,013101,277917.299461608,0,-1,0,0,1,110827955.33,74205.3698609,False,16514826.480895558,"POLYGON ((-13628035.59066506 4550057.857315902, -13628022.7181 4549982.068899998, -13628182.23402382 4549956.576115998, -13628184.33749769 4549969.718610933, -13628194.09037169 4550030.654669669, -13628035.59066506 4550057.857315902))",12240.785034694221,0.044044703436624984
18,06075020200,020200,542465.6625836983,0,-1,0,0,1,110827955.33,74205.3698609,False,16514826.480895558,"POLYGON ((-13628019.76176378 4547286.03368786, -13627995.3335 4546966.695399999, -13627988.9883 4546883.608599998, -13627959.6 4546498.038099996, -13627924.8683 4546041.793499998, -13628388.3625396 4546006.65568596, -13628404.96215292 4546249.668261545, -13628420.9599381 4546475.115652828, -13628430.2818909 4546676.350783432, -13628434.71679304 4546837.722158434, -13628196.37237923 4546862.056249467, -13628212.74960007 4547094.993138559, -13628178.03557697 4547124.264167562, -13628116.48919913 4547186.812650864, -13628089.67356431 4547219.393052342, -13628019.76176378 4547286.03368786), (-13628117.5302324 4546574.525702909, -13628116.34698778 4546624.313705031, -13628163.67945495 4546623.336539164, -13628162.66101884 4546573.593989747, -13628117.5302324 4546574.525702909), (-13628128.08666229 4546713.646291366, -13628127.89099259 4546757.885123446, -13628171.85398597 4546753.659865027, -13628167.62361575 4546708.406524759, -13628128.08666229 4546713.646291366))",447027.730634269,0.8240664091163485
19,06075010700,010700,293840.42707490997,0,-1,0,0,1,110827955.33,74205.3698609,False,16514826.480895558,"POLYGON ((-13626942.5851 4551518.612899996, -13626772.0436 4551369.414399996, -13626509.107 4551139.0696, -13626381.6462 4551027.350599997, -13626294.149 4550950.571000002, -13626247.9515 4550910.138599997, -13626119.3774 4550797.435999996, -13626444.2077 4550746.579300001, -13626810.2262 4550688.397399997, -13626831.5996 4550822.794, -13626873.0104 4551083.562100001, -13626893.9385 4551215.428000003, -13626936.0172 4551477.614799998, -13626942.5851 4551518.612899996))",293840.42707491,1.0000000000000002
